SETTLEMENTDATE;PRICE/GIGA_WATT
06/06/2020 15:00;5.348147754
06/06/2020 15:30;5.143208168
06/06/2020 16:00;5.063770743
06/06/2020 16:30;4.821106212
06/06/2020 17:00;5.508709882
06/06/2020 17:30;5.617930857
06/06/2020 18:00;5.882148686
06/06/2020 18:30;5.728865876
06/06/2020 19:00;5.187989804
06/06/2020 19:30;5.182408405
06/06/2020 20:00;5.008457377
06/06/2020 20:30;5.383603939
06/06/2020 21:00;5.492759304
06/06/2020 21:30;5.008738188
06/06/2020 22:00;5.488780499
06/06/2020 22:30;5.680123906
06/06/2020 23:00;4.995918554
06/06/2020 23:30;4.833356618
07/06/2020 00:00;4.853683696
07/06/2020 00:30;5.214332371
07/06/2020 01:00;5.868615194
07/06/2020 01:30;5.922967175
07/06/2020 02:00;5.664589696
07/06/2020 02:30;6.052130267
07/06/2020 03:00;5.71290209
07/06/2020 03:30;5.7496325
07/06/2020 04:00;5.793591541
07/06/2020 04:30;5.944527943
07/06/2020 05:00;5.929013319
07/06/2020 05:30;5.825338209
07/06/2020 06:00;5.254333505
07/06/2020 06:30;5.463276525
07/06/2020 07:00;5.267255989
07/06/2020 07:30;5.726427636
07/06/2020 08:00;5.061124961
07/06/2020 08:30;4.949407478
07/06/2020 09:00;4.836220241
07/06/2020 09:30;5.273083657
07/06/2020 10:00;5.110352596
07/06/2020 10:30;5.189954657
07/06/2020 11:00;4.813522618
07/06/2020 11:30;4.983440899
07/06/2020 12:00;5.023615676
07/06/2020 12:30;5.143654443
07/06/2020 13:00;5.17547424
07/06/2020 13:30;5.270377398
07/06/2020 14:00;7.290825405
07/06/2020 14:30;6.240510349
07/06/2020 15:00;5.754257862
07/06/2020 15:30;6.983964942
07/06/2020 16:00;7.032137677
07/06/2020 16:30;6.571717341
07/06/2020 17:00;12.02829176
07/06/2020 17:30;17.22498424
07/06/2020 18:00;9.188059771
07/06/2020 18:30;9.461161814
07/06/2020 19:00;7.262484835
07/06/2020 19:30;6.638939628
07/06/2020 20:00;5.871406571
07/06/2020 20:30;5.708746457
07/06/2020 21:00;5.687944387
07/06/2020 21:30;6.115911931
07/06/2020 22:00;6.050257929
07/06/2020 22:30;5.836862287
07/06/2020 23:00;5.509086076
07/06/2020 23:30;5.683048147
08/06/2020 00:00;5.531009207
08/06/2020 00:30;5.985636543
08/06/2020 01:00;5.927004816
08/06/2020 01:30;6.128459559
